Tap,x_c,MeanCp,StdCp,MinCp,MaxCp
1,1,-62.1495589,0.691332327349279,-64.18448,-61.02898
2,0.959770114942529,-64.9649812,0.699227381518497,-67.11356,-63.82852
3,0.913793103448276,-69.4042144,0.703822742863829,-71.4512,-68.34526
4,0.867816091954023,-75.9440626,0.756830135773804,-78.14059,-74.89171
5,0.775862068965517,-93.7127997,0.903729366947731,-96.18299,-92.46916
6,0.689655172413793,-113.066457,1.0801210601113,-115.9755,-111.5615
7,0.64367816091954,-122.964095,1.17194711143249,-126.0695,-121.302
8,0.597701149425287,-136.461451,1.29100115410405,-139.8934,-134.6893
9,0.557471264367816,-144.660807,1.3664505886283,-148.3388,-142.8557
10,0.517241379310345,-157.892657,1.40937410789723,-161.914,-155.6228
11,0.431034482758621,-188.509286,1.74613096955306,-193.1168,-186.0915
12,0.344827586206897,-207.001764,1.88498911110752,-212.0034,-204.4245
13,0.298850574712644,-214.796177,1.97154743658837,-220.0614,-212.1185
14,0.252873563218391,-209.685222,1.91637533667762,-214.9106,-207.0811
15,0.201149425287356,-179.302127,1.64942796909208,-183.9105,-177.0871
16,0,-64.1130144,0.540387694489986,-65.37679,-63.01731
17,0.119047619047619,-58.3259775,0.461611317087638,-59.40828,-57.3099
18,0.238095238095238,-55.0151482,0.415923319832593,-56.03174,-54.10533
19,0.357142857142857,-55.5523624,0.410139073028265,-56.54071,-54.66312
20,0.476190476190476,-55.9854917,0.415344862296953,-56.98439,-55.07405
21,0.595238095238095,-56.9605862,0.416021425154323,-57.92334,-56.04486
22,0.714285714285714,-58.1243568,0.433534300363509,-59.11871,-57.14382
23,0.833333333333333,-57.8836006,0.430374170620182,-58.84776,-56.9131
24,0.952380952380952,-56.1135831,0.422082559714975,-57.02037,-55.1743
25,1,-48.6645968,0.374067405889971,-49.43602,-47.84106
